"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"P8","PG0","I/O","","","","","","","","","","","","OCTOSPIM_P2_IO4","","UART9_RX","FMC_A10","","","EVENTOUT"
"P9","PE7","I/O","","","","TIM1_ETR","","DFSDM1_DATIN2","","","","UART7_RX","","","OCTOSPIM_P1_IO4","","FMC_D4/FMC_DA4","","","EVENTOUT"
"P10","PB11","I/O","USB_OTG_HS_ULPI_D4","","","TIM2_CH4","","LPTIM2_ETR","I2C2_SDA","","DFSDM1_CKIN7","USART3_RX","","","USB_OTG_HS_ULPI_D4","ETH_TX_EN","","","LTDC_G5","EVENTOUT"
"P11","PF12","I/O","","","","","","","","","","","","OCTOSPIM_P2_DQS","","","FMC_A6","","TIM24_CH2","EVENTOUT"
"P12","PE12","I/O","","","","TIM1_CH3N","","DFSDM1_DATIN5","","SPI4_SCK","","","","","SAI4_SCK_B","","FMC_D9/FMC_DA9","COMP1_OUT","LTDC_B4","EVENTOUT"
"P13","PE13","I/O","","","","TIM1_CH3","","DFSDM1_CKIN5","","SPI4_MISO","","","","","SAI4_FS_B","","FMC_D10/FMC_DA10","COMP2_OUT","LTDC_DE","EVENTOUT"
"P14","PE15","I/O","","","","TIM1_BKIN","","","","","","","","","","USART10_CK","FMC_D12/FMC_DA12","TIM1_BKIN_COMP1/TIM1_BKIN_COMP2","LTDC_R7","EVENTOUT"
"P15","PH6","I/O","","","","","TIM12_CH1","","I2C2_SMBA","SPI5_SCK","","","","","","ETH_RXD2","FMC_SDNE1","DCMI_D8/PSSI_D8","","EVENTOUT"
"R1","VSS","Power","","","","","","","","","","","","","","","","","",""
"R2","PA2","I/O","ETH_MDIO","","","TIM2_CH3","TIM5_CH3","LPTIM4_OUT","TIM15_CH1","","OCTOSPIM_P1_IO0","USART2_TX","SAI4_SCK_B","","","ETH_MDIO","MDIOS_MDIO","","LTDC_R1","EVENTOUT"
"R3","PA0_C","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","TIM15_BKIN","I2S6_WS/SPI6_NSS","","USART2_CTS/USART2_NSS","UART4_TX","SDMMC2_CMD","SAI4_SD_B","ETH_CRS","FMC_A19","","",""
"R4","PH3","I/O","","","","","","","","","","","","OCTOSPIM_P1_IO5","SAI4_MCLK_B","ETH_COL","FMC_SDNE0","","LTDC_R1","EVENTOUT"
"R5","PH5","I/O","","","","","","","I2C2_SDA","SPI5_NSS","","","","","","","FMC_SDNWE","","","EVENTOUT"
"R6","PC4","I/O","ETH_RXD0","","","FMC_A22","","DFSDM1_CKIN2","","I2S1_MCK","","","","SPDIFRX1_IN2","SDMMC2_CKIN","ETH_RXD0","FMC_SDNE0","","LTDC_R7","EVENTOUT"
"R7","PA6","I/O","ADC1_INP3","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","I2S1_SDI/SPI1_MISO","OCTOSPIM_P1_IO3","","I2S6_SDI/SPI6_MISO","TIM13_CH1","TIM8_BKIN_COMP1/TIM8_BKIN_COMP2","MDIOS_MDC","TIM1_BKIN_COMP1/TIM1_BKIN_COMP2","DCMI_PIXCLK/PSSI_PDCK","LTDC_G2","EVENTOUT"
"R8","PB0","I/O","USB_OTG_HS_ULPI_D1","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","OCTOSPIM_P1_IO1","","DFSDM1_CKOUT","","UART4_CTS","LTDC_R3","USB_OTG_HS_ULPI_D1","ETH_RXD2","","","LTDC_G1","EVENTOUT"
"R9","PE10","I/O","","","","TIM1_CH2N","","DFSDM1_DATIN4","","","","UART7_CTS","","","OCTOSPIM_P1_IO7","","FMC_D7/FMC_DA7","","","EVENTOUT"
"R10","PF14","I/O","","","","","","DFSDM1_CKIN6","I2C4_SCL","","","","","","","","FMC_A8","","TIM24_CH4","EVENTOUT"
"R11","PE9","I/O","","","","TIM1_CH1","","DFSDM1_CKOUT","","","","UART7_DE/UART7_RTS","","","OCTOSPIM_P1_IO6","","FMC_D6/FMC_DA6","","","EVENTOUT"
"R12","PE11","I/O","","","","TIM1_CH2","","DFSDM1_CKIN4","","SPI4_NSS","","","","","SAI4_SD_B","OCTOSPIM_P1_NCS","FMC_D8/FMC_DA8","","LTDC_G3","EVENTOUT"
"R13","VCAP","Power","","","","","","","","","","","","","","","","","",""
"R14","VDDLDO","Power","","","","","","","","","","","","","","","","","",""
"R15","VSS","Power","","","","","","","","","","","","","","","","","",""
